dayoftheyear,open,high,low,close,WLLDE
1856,386.88,388.82,383.12,388.58,382.00
1857,384.00,384.28,371.67,372.92,376.36
1858,369.83,375.09,368.40,370.63,372.18
1859,374.24,377.84,362.14,370.80,372.69
1860,373.84,378.50,371.51,377.73,375.14
1861,373.58,376.05,368.25,374.85,376.62
1862,373.35,380.14,372.95,378.16,379.81
1863,379.40,387.36,379.19,385.72,386.03
1864,388.19,395.30,387.99,395.19,391.52
1865,393.56,396.33,390.21,392.97,392.60
1866,395.10,396.12,387.26,389.79,392.56
1867,389.63,397.26,387.36,397.21,393.51
1868,392.46,394.03,389.71,390.69,392.69
1869,394.73,396.47,390.70,391.88,392.66
1870,388.37,396.10,387.91,395.64,392.98
1871,393.92,395.72,390.54,391.34,389.34
1872,389.55,391.84,382.04,382.04,381.15
1873,375.79,376.65,370.91,370.96,370.46
1874,361.49,363.35,355.25,356.87,361.12
1875,358.63,359.67,352.68,355.80,357.61
1876,359.12,365.34,354.13,360.87,356.25
1877,352.60,353.01,346.48,348.93,352.61
1878,349.34,353.04,346.15,349.68,352.36
1879,355.44,359.88,355.37,358.48,356.00
1880,354.23,361.97,353.81,357.83,359.09
1881,359.98,362.07,356.40,361.34,363.50
1882,364.53,372.84,364.50,372.83,368.80
1883,373.75,374.05,370.31,371.40,369.21
1884,372.97,375.77,363.70,363.81,365.77
1885,364.37,365.36,361.68,363.52,363.23
1886,359.60,363.82,356.08,360.56,362.50
1887,359.91,364.82,357.27,364.38,363.68
1888,359.26,365.09,356.41,365.07,365.29
1889,365.21,368.80,362.81,366.30,367.43
1890,368.09,372.59,366.32,371.79,369.95
1891,370.14,373.36,368.60,371.48,370.04
1892,368.79,369.76,366.54,367.24,367.44
1893,366.68,369.08,362.23,363.99,364.50
1894,358.51,365.03,358.09,362.07,362.76
1895,357.09,362.29,354.63,361.20,363.34
1896,365.63,368.21,363.71,368.10,365.76
1897,371.20,371.88,363.82,365.06,368.48
1898,369.00,375.49,368.35,374.92,373.09
1899,375.11,378.73,373.74,377.31,377.19
1900,376.73,381.20,374.31,381.15,379.00
1901,381.28,382.48,375.38,377.62,378.41
1902,378.25,378.94,375.82,378.07,377.22
1903,376.42,376.63,372.70,373.60,377.73
1904,376.92,385.06,376.62,383.30,382.34
1905,384.12,388.81,380.54,388.11,387.92
1906,389.55,394.76,388.78,393.77,391.57
1907,391.05,395.13,390.34,392.60,392.22
1908,391.03,394.73,388.83,390.01,392.46
1909,392.15,397.30,391.87,396.12,394.42
1910,396.04,396.73,394.20,395.85,395.48
1911,391.54,395.83,391.48,395.18,395.19
1912,396.88,399.15,393.62,394.73,394.77
1913,393.99,394.50,392.08,393.16,395.92
1914,400.26,401.56,398.29,401.42,399.45
1915,404.28,406.16,400.67,401.42,403.05
1916,403.37,408.32,402.41,408.21,406.80
1917,405.98,410.42,405.93,409.89,409.27
1918,408.81,412.64,408.00,410.70,409.62
1919,407.07,410.50,405.76,407.78,408.66
1920,407.98,409.65,406.68,408.97,406.89
1921,406.18,406.45,402.59,403.47,402.58
1922,398.61,398.78,394.16,395.07,397.41
1923,394.64,397.05,393.56,394.11,395.27
1924,393.88,396.75,393.19,395.38,396.09
1925,396.88,401.00,395.78,400.96,395.47
1926,400.84,401.39,387.33,387.38,390.06
1927,384.41,387.89,383.46,384.82,384.77
1928,385.99,386.23,378.49,380.60,381.13
1929,382.24,383.49,377.57,377.70,378.85
1930,375.51,379.23,372.79,378.89,377.52
1931,382.58,383.80,373.07,374.89,375.84
1932,375.74,376.69,371.24,373.48,376.00
1933,373.16,380.96,372.94,380.19,379.31
1934,377.90,383.13,376.69,382.67,383.51
1935,384.93,389.49,384.66,388.62,387.35
