dayoftheyear,open,high,low,close,WLLDE
390,106.32,106.52,105.71,106.00,106.14
391,106.07,106.56,105.75,106.44,106.33
392,106.35,106.48,106.09,106.45,106.49
393,106.41,106.95,106.04,106.57,106.76
394,107.47,107.59,106.86,107.31,107.21
395,107.48,107.81,107.14,107.68,107.64
396,107.93,108.21,107.58,107.92,107.96
397,107.99,108.76,107.86,108.49,108.11
398,108.33,108.42,106.97,107.67,107.98
399,107.58,108.03,107.52,108.02,108.08
400,107.98,108.43,107.73,108.33,108.52
401,108.88,109.61,108.76,109.37,109.04
402,109.43,109.45,108.90,109.25,109.30
403,109.33,109.85,109.27,109.50,109.37
404,109.57,109.59,108.93,109.22,109.42
405,109.59,109.92,109.37,109.69,109.61
406,109.50,109.77,109.38,109.76,109.83
407,109.90,110.48,109.87,110.23,109.94
408,110.03,110.03,109.60,109.62,109.83
409,109.65,109.86,109.04,109.82,109.79
410,109.72,110.01,109.53,109.85,109.83
411,109.65,110.06,109.35,109.82,109.86
412,109.66,110.09,109.45,109.90,109.91
413,110.33,110.52,110.05,110.10,109.84
414,110.03,110.17,109.02,109.39,109.54
415,109.11,109.55,108.98,109.21,109.34
416,109.25,110.08,108.71,109.37,109.36
417,109.40,109.81,109.38,109.52,109.37
418,109.34,109.66,108.79,109.16,109.24
419,109.00,109.16,108.59,109.05,109.19
420,109.09,109.46,108.56,109.33,109.38
421,109.88,110.10,109.28,109.69,109.77
422,109.88,110.37,109.63,110.37,110.16
423,110.47,110.62,110.02,110.44,110.11
424,110.11,110.14,109.50,109.79,109.27
425,108.87,109.12,107.01,107.03,108.32
426,106.43,109.10,106.42,108.95,108.28
427,108.41,108.72,107.45,107.97,108.38
428,108.09,109.08,108.06,108.49,108.85
429,108.52,110.34,108.51,110.17,109.65
430,110.06,110.23,109.58,110.12,109.95
431,110.40,110.74,109.43,109.64,109.88
432,110.04,110.30,109.66,109.85,110.15
433,110.32,111.09,109.67,110.93,110.84
434,111.58,111.94,111.47,111.81,111.29
435,111.73,111.73,110.94,111.10,111.05
436,110.47,110.60,110.01,110.17,110.76
437,110.09,111.31,109.99,111.26,111.02
438,111.40,111.51,110.87,111.45,111.16
439,111.26,111.47,110.16,110.64,111.08
440,110.93,111.79,110.82,111.47,111.22
441,111.32,111.45,110.87,111.31,111.29
442,111.63,111.88,110.71,111.14,111.30
443,111.47,111.89,111.42,111.53,111.40
444,111.39,111.71,110.93,111.47,111.43
445,111.58,111.74,110.69,111.23,111.43
446,111.80,112.18,111.76,111.94,111.30
447,111.84,111.86,109.85,110.34,110.71
448,110.44,110.62,109.91,110.25,110.23
449,109.49,110.15,108.86,109.85,109.99
450,110.39,110.84,109.92,109.98,109.92
