Datetime,Open,High,Low,Close
,QQQ,QQQ,QQQ,QQQ
2023-08-03 00:00:00,366.892,370.848,366.725,368.717
2023-08-04 00:00:00,370.651,372.969,366.488,366.991
2023-08-07 00:00:00,368.806,370.197,366.468,370.098
2023-08-08 00:00:00,367.583,367.603,363.815,366.952
2023-08-09 00:00:00,367.238,367.395,362.158,362.917
2023-08-10 00:00:00,365.936,369.279,362.059,363.588
2023-08-11 00:00:00,361.023,363.006,359.741,361.27
2023-08-14 00:00:00,360.471,365.442,359.751,365.324
2023-08-15 00:00:00,364.347,365.146,360.776,361.447
2023-08-16 00:00:00,360.905,362.444,357.521,357.62
2023-08-17 00:00:00,359.021,359.366,353.299,353.714
2023-08-18 00:00:00,350.439,354.532,349.896,353.27
2023-08-21 00:00:00,354.74,359.642,354.276,358.961
2023-08-22 00:00:00,361.576,361.585,357.758,358.449
2023-08-23 00:00:00,359.632,365.196,359.415,364.101
2023-08-24 00:00:00,367.583,367.682,356.111,356.318
2023-08-25 00:00:00,357.156,360.776,353.714,359.08
2023-08-28 00:00:00,362.01,362.72,359.307,361.783
2023-08-29 00:00:00,361.585,370.039,361.26,369.684
2023-08-30 00:00:00,369.792,372.328,368.786,371.746
2023-08-31 00:00:00,371.825,374.567,371.755,372.86
2023-09-01 00:00:00,375.237,375.662,370.976,372.466
2023-09-05 00:00:00,371.657,374.162,370.73,372.939
2023-09-06 00:00:00,372.16,372.505,367.642,369.654
2023-09-07 00:00:00,365.186,367.79,364.14,367.011
2023-09-08 00:00:00,366.961,369.763,366.557,367.524
2023-09-11 00:00:00,370.562,372.367,368.589,371.854
2023-09-12 00:00:00,370.177,371.834,367.445,367.731
2023-09-13 00:00:00,367.968,370.739,366.833,369.132
2023-09-14 00:00:00,370.887,373.136,368.816,372.15
2023-09-15 00:00:00,370.808,371.213,364.841,365.778
2023-09-18 00:00:00,364.835,367.275,364.549,366.159
2023-09-19 00:00:00,364.835,366.179,362.346,365.379
2023-09-20 00:00:00,366.445,366.801,360.034,360.113
2023-09-21 00:00:00,356.419,357.209,353.346,353.514
2023-09-22 00:00:00,355.263,357.407,353.248,353.564
2023-09-25 00:00:00,352.596,355.332,351.608,355.243
2023-09-26 00:00:00,352.655,353.198,348.921,349.909
2023-09-27 00:00:00,351.065,352.645,347.093,350.729
2023-09-28 00:00:00,349.81,355.796,348.951,353.663
2023-09-29 00:00:00,357.15,358.543,352.685,353.919
2023-10-02 00:00:00,354.186,358.276,353.574,356.873
2023-10-03 00:00:00,354.423,356.626,348.99,350.61
2023-10-04 00:00:00,351.45,356.231,350.986,355.382
2023-10-05 00:00:00,355.372,355.777,350.827,354.334
2023-10-06 00:00:00,351.331,361.467,350.541,360.271
